JAVNE PARKIRNE POVRŠINE,TARIFNI RAZRED,OBRATOVALNI ?AS,"?AS, V KATEREM SE PARKIRNINA PLA?UJE
DNEVNA TARIFA        NO?NA TARIFA        ENOTNA TARIFA",,,DNEVNA CENA Z DDV,E/M,"Cena parkirnine z DDV (v EUR)
NO?NA CENA                                 ENOTNA CENA Z DDV                            E/M             Z DDV",,,E/M
Sanatorij Emona  (Kolodvorska ulica),P-1,pon.ned.,6.00-22.00 ure,22.00-6.00 ure,(ni),1.20,na uro,2.00,na no?,,
Metelkova ulica,P-1,pon.-ned.,6.00-22.00 ure,22.00-6.00 ure,(ni),1.20,na uro,2.00,na no?,,
,P-1 AB**,pon-ned,(ni),(ni),mese?no,,,,,45.00,na mesec
Krekov trg,P-1 AB**,pon-ned,(ni),(ni),mese?no,,,,,45.00,na mesec
Bežigrad (Gospodarsko razstaviš?e),P-2,pon.-ned.,7.00-19.00 ure,19.00 -7.00 ure,(ni),0.80,na uro,2.00,na no?,,
Mirje (Lepi pot),P-2,pon.-ned.,7.00-19.00 ure,19.00 -7.00 ure,(ni),0.80,na uro,2.00,na no?,,
,P-1 AB**,pon-ned,(ni),(ni),mese?no,,,,,45.00,na mesec
Trg mladinskih delovnih brigad,P-2,pon-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.80,,2.00,na no?,,
Tivoli I.* (park Tivoli),P-2,pon.-petek,6.00-22.00 ure,22.00-6.00 ure,(ni),0.80,na uro,2.00,na no?,,
,B-1,pon.-ned.,6.00-22.00 ure,(ni),(ni),5.00,na uro,,,,
,P-1 AB**,pon-ned,(ni),(ni),mese?no,,,,,45.00,na mesec
Tivoli II. * (hala Tivoli),P-2,pon.-petek,6.00-22.00 ure,22.00-6.00 ure,(ni),0.80,na uro,2.00,na no?,,
,B-1,pon.-ned.,6.00-22.00 ure,(ni),(ni),5.00,na uro,(ni),,,
,P-1 AB**,pon-ned,(ni),(ni),mese?no,,,,,45.00,na mesec
BS/4. ( Dunajska cesta),P-2,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.80,na uro,2.00,na no?,,
,P-2 AB**,pon-ned,,,mese?no,,,,,40.00,na mesec
Trg prekomorskih brigad,P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Žale I. (glavni vhod),P-3,pon.-petek,7.00-19.00 ure,(ni),(ni),0.70,prvi dve uri,,,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Žale II. (Šmartinski park),P-3,pon.-petek,7.00-19.00 ure,(ni),(ni),0.70,prvi dve uri,,,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Žale III. (Zavod za rehabilitacijo invalidov),P-3,pon.-petek,7.00-19.00 ure,(ni),(ni),0.70,prvi dve uri,,,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),,mese?no,,,,,28.00,na mesec
Žale IV.  (Koželjeva cesta),P-3,pon.-petek,7.00-19.00 ure,(ni),(ni),0.70,prvi dve uri,,,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Žale V. (Toma?evska cesta,P-3,pon.-petek,7.00-19.00 ure,(ni),(ni),0.70,prvi dve uri,,,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Kranj?eva ulica (POP TV),P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Štembalova ulica,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Gosarjeva ulica (FDV),P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB L**,pon-ned,(ni),(ni),letno,,,,,28.00,na mesec
Povšetova Ulica,P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Sloven?eva ulica,P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
Dolenjska cesta (streliš?e),P-3,pon.-ned.,6.00-22.00 ure,22.00-6.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
,P-3 AB**,pon-ned,(ni),(ni),mese?no,,,,,28.00,na mesec
